EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	11:40:33	0	0.2000	3.412238181391849	2.6879632472991943		0.3658
2	11:41:00	0	0.2000	2.369618512407134	2.1881914138793945		0.441
3	11:41:14	0	0.2000	1.9875801741322385	2.042250394821167		0.4582
4	11:41:29	1	0.2000	1.729343489755558	1.9770960807800293		0.4453
5	11:41:33	0	0.2000	1.5207255475128754	1.8851230144500732		0.4884
6	11:41:46	0	0.2000	1.3533278839497627	1.7655037641525269		0.5167
7	11:41:58	1	0.2000	1.1838628793064552	1.7302944660186768		0.5148
8	11:42:01	0	0.2000	1.0822560726841794	1.7085270881652832		0.5268
9	11:42:10	0	0.2000	0.9524373812011525	1.67523193359375		0.5512
10	11:42:16	1	0.2000	0.844860674459723	1.705089807510376		0.5355
11	11:42:20	2	0.2000	0.7819048505795153	1.7274094820022583		0.5439
12	11:42:24	0	0.2000	0.712426113554194	1.6771825551986694		0.5571
13	11:42:32	1	0.2000	0.6324983982345725	1.6771172285079956		0.5557
14	11:42:36	2	0.2000	0.5806051356882989	1.826873779296875		0.5549
15	11:42:39	0	0.2000	0.5263753555998018	1.6927733421325684		0.5574
16	11:42:45	1	0.2000	0.47846530811696114	1.8163621425628662		0.5297
17	11:42:48	0	0.2000	0.443485508236704	1.7065155506134033		0.5656
18	11:42:56	1	0.2000	0.4153256706799133	1.8163354396820068		0.5491
19	11:42:59	2	0.2000	0.3832766670214979	1.760156512260437		0.5471
20	11:43:03	3	0.2000	0.3640956839051428	1.7561326026916504		0.5541
21	11:43:06	0	0.2000	0.3337759503835364	1.7279897928237915		0.5675
22	11:43:17	0	0.2000	0.3083416431010524	1.784459114074707		0.5679
23	11:43:23	1	0.2000	0.2876454999175253	1.8336639404296875		0.559
24	11:43:26	2	0.2000	0.2747798880821542	1.8081550598144531		0.5657
25	11:43:30	3	0.2000	0.263272865097734	1.7645506858825684		0.5638
26	11:43:33	4	0.2000	0.32089199031455606	2.069610834121704		0.4997
27	11:43:36	0	0.1000	0.2646391361574583	1.766234278678894		0.574
28	11:43:45	1	0.1000	0.2323336169312272	1.7718050479888916		0.5736
29	11:43:49	2	0.1000	0.21395040020535264	1.7737773656845093		0.573
30	11:43:52	3	0.1000	0.21151740933898128	1.7906312942504883		0.5707
31	11:43:55	4	0.1000	0.20121158923529373	1.7956395149230957		0.5723
32	11:43:58	1	0.0500	0.19941780357798444	1.7893853187561035		0.5717
33	11:44:02	2	0.0500	0.19644246938862378	1.799578309059143		0.5728
34	11:44:05	3	0.0500	0.18980148085687734	1.812178373336792		0.571
35	11:44:08	4	0.0500	0.18903068820886973	1.7968037128448486		0.5719
36	11:44:11	1	0.0250	0.18323028794949567	1.8301981687545776		0.5712
37	11:44:15	2	0.0250	0.18169435094806213	1.8102070093154907		0.5712
38	11:44:18	3	0.0250	0.18418283647374262	1.801633358001709		0.5738
39	11:44:22	4	0.0250	0.18175764221556578	1.8088103532791138		0.5729
40	11:44:25	1	0.0125	0.18254925452078444	1.809788703918457		0.5733
41	11:44:28	2	0.0125	0.17601984494094608	1.8093297481536865		0.5731
42	11:44:31	3	0.0125	0.17730346991668774	1.8154493570327759		0.5732
43	11:44:35	4	0.0125	0.17817899132076698	1.8104972839355469		0.5727
44	11:44:38	1	0.0063	0.17595279499699798	1.8112789392471313		0.5728
45	11:44:41	2	0.0063	0.17742470849918413	1.8127551078796387		0.5724
46	11:44:44	3	0.0063	0.17318744721669185	1.8121639490127563		0.5725
47	11:44:48	4	0.0063	0.1783574265015276	1.8139253854751587		0.5727
48	11:44:51	1	0.0031	0.17705188946256153	1.8119676113128662		0.5733
49	11:44:55	2	0.0031	0.17129869080042537	1.8130213022232056		0.5726
50	11:44:58	3	0.0031	0.17398393173006516	1.8125625848770142		0.5733
51	11:45:01	4	0.0031	0.17281980821980705	1.8118287324905396		0.5731
52	11:45:04	1	0.0016	0.17534952374953258	1.8122260570526123		0.5732
53	11:45:08	2	0.0016	0.17570206673839425	1.8122237920761108		0.573
54	11:45:11	3	0.0016	0.17391469735133497	1.8135411739349365		0.5732
55	11:45:14	4	0.0016	0.17259127222284487	1.812624454498291		0.573
56	11:45:17	1	0.0008	0.17375845065977	1.8129688501358032		0.5733
57	11:45:21	2	0.0008	0.17404797512896453	1.8128968477249146		0.5732
58	11:45:24	3	0.0008	0.17190961530314217	1.812768816947937		0.5733
59	11:45:28	4	0.0008	0.17135115920365612	1.8125073909759521		0.5732
60	11:45:31	1	0.0004	0.1756250262260437	1.8125569820404053		0.5732
61	11:45:34	2	0.0004	0.17588902000762238	1.8127102851867676		0.5732
62	11:45:38	3	0.0004	0.1734754773257654	1.8126966953277588		0.5733
63	11:45:41	4	0.0004	0.17750027841782268	1.812542200088501		0.5734
64	11:45:44	1	0.0002	0.17723554957516585	1.8125661611557007		0.5735
65	11:45:47	2	0.0002	0.1756074181463145	1.8126076459884644		0.5735
66	11:45:50	3	0.0002	0.17349141421197337	1.8127179145812988		0.5735
67	11:45:54	4	0.0002	0.17652990357785286	1.8128300905227661		0.5734
