EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	12:20:39	0	0.0010	6.2796810971030705	6.2369608879089355		0.0889
2	12:20:47	0	0.0010	6.185400057442581	6.1379313468933105		0.1561
3	12:20:54	0	0.0010	6.08393738541422	6.030169486999512		0.1633
4	12:21:02	0	0.0010	5.975589975526061	5.910364151000977		0.1653
5	12:21:10	1	0.0010	5.851353548750093	5.773561000823975		0.1636
6	12:21:13	2	0.0010	5.709866813466519	5.615974426269531		0.1579
7	12:21:17	3	0.0010	5.544495999058591	5.434144973754883		0.1533
8	12:21:21	4	0.0010	5.358911882472944	5.230780124664307		0.152
9	12:21:24	1	0.0005	5.205850776237778	5.123336315155029		0.152
10	12:21:29	2	0.0005	5.107680531996715	5.015654563903809		0.1521
11	12:21:33	3	0.0005	5.007815192017374	4.909682750701904		0.1527
12	12:21:37	4	0.0005	4.9157223158244845	4.80852746963501		0.1535
13	12:21:40	1	0.0003	4.845687842067284	4.760310173034668		0.1542
14	12:21:44	2	0.0003	4.8042310702649855	4.713923454284668		0.1546
15	12:21:48	3	0.0003	4.761111036131654	4.669196128845215		0.1556
16	12:21:52	4	0.0003	4.723604787754107	4.626490116119385		0.1571
17	12:21:55	1	0.0001	4.6887275357789635	4.605762958526611		0.1583
18	12:21:59	2	0.0001	4.6702149065234995	4.585448741912842		0.1594
19	12:22:03	3	0.0001	4.657673582246032	4.565799236297607		0.1615
20	12:22:07	4	0.0001	4.6411038893687575	4.546584129333496		0.1638
