EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	13:16:57	0	1.0000	4.856609670421745	3.9971513748168945		0.1869
2	13:17:14	0	1.0000	3.1490136188796805	2.8593478202819824		0.3339
3	13:17:29	0	1.0000	2.4714334026167664	2.3446450233459473		0.4436
4	13:17:44	0	1.0000	2.0785769163807735	1.932561993598938		0.519
5	13:17:59	0	1.0000	1.794586614717411	1.7620689868927002		0.5646
6	13:18:13	0	1.0000	1.5854357903516745	1.5079283714294434		0.6053
7	13:18:27	0	1.0000	1.4625836957859089	1.5026530027389526		0.6138
8	13:18:41	0	1.0000	1.342081459262703	1.3720674514770508		0.629
9	13:18:58	1	1.0000	1.2378961534439763	1.4866963624954224		0.6037
10	13:19:05	0	1.0000	1.1664413010017782	1.4096555709838867		0.6293
11	13:19:20	0	1.0000	1.0796339270434803	1.2959274053573608		0.6503
12	13:19:36	1	1.0000	1.0226992572410196	1.2825500965118408		0.6443
13	13:19:43	0	1.0000	0.958680683298956	1.2402386665344238		0.6526
14	13:19:58	1	1.0000	0.8990534219560744	1.3599153757095337		0.6503
15	13:20:05	0	1.0000	0.8651423190213456	1.218652606010437		0.6635
16	13:20:20	0	1.0000	0.8062463485741918	1.1443833112716675		0.6823
17	13:20:35	0	1.0000	0.7625525925732866	1.1342506408691406		0.6867
18	13:20:49	1	1.0000	0.7302074289020104	1.2364693880081177		0.6511
19	13:20:57	0	1.0000	0.6916206954400751	1.1256455183029175		0.6967
20	13:21:10	1	1.0000	0.660413838640044	1.1109466552734375		0.6956
21	13:21:17	0	1.0000	0.6250999094564703	1.1442712545394897		0.6993
22	13:21:32	1	1.0000	0.5938325927981848	1.130181074142456		0.6939
23	13:21:39	2	1.0000	0.5696306703965875	1.143121600151062		0.6904
24	13:21:46	3	1.0000	0.5413238164744799	1.1280643939971924		0.6966
25	13:21:54	4	1.0000	0.5051982742321642	1.1269479990005493		0.6963
26	13:22:01	0	0.5000	0.4499964631056484	1.071965217590332		0.7168
27	13:22:15	1	0.5000	0.42705747183365156	1.0781376361846924		0.716
28	13:22:23	2	0.5000	0.4215004308314263	1.0731624364852905		0.71
29	13:22:30	3	0.5000	0.40288625563247293	1.0652700662612915		0.714
30	13:22:37	0	0.5000	0.38766021253187444	1.0645971298217773		0.719
31	13:22:52	1	0.5000	0.3782311779788778	1.1014666557312012		0.7033
32	13:22:59	2	0.5000	0.3678042503851878	1.0792243480682373		0.7169
33	13:23:06	3	0.5000	0.36548271869556814	1.0857512950897217		0.7146
34	13:23:13	4	0.5000	0.3557538141178179	1.0774935483932495		0.7184
35	13:23:19	0	0.2500	0.339242009988314	1.071311116218567		0.7203
36	13:23:35	1	0.2500	0.32402090671696243	1.070465326309204		0.7198
37	13:23:41	0	0.2500	0.3174789227262328	1.070063829421997		0.7216
38	13:23:57	1	0.2500	0.31844756780545924	1.069819450378418		0.7202
39	13:24:05	2	0.2500	0.30410753284828573	1.0737861394882202		0.7203
40	13:24:13	3	0.2500	0.3074548372739478	1.0736217498779297		0.7195
41	13:24:21	0	0.2500	0.30291633817214	1.0694355964660645		0.7219
42	13:24:36	1	0.2500	0.2978329556652262	1.0726901292800903		0.7209
43	13:24:43	2	0.2500	0.29456619654275196	1.0733860731124878		0.7216
44	13:24:49	3	0.2500	0.2946162248336816	1.0738046169281006		0.7216
45	13:24:56	4	0.2500	0.2964886666475972	1.0685001611709595		0.7195
46	13:25:02	1	0.1250	0.2825463551886474	1.0729440450668335		0.7203
47	13:25:09	2	0.1250	0.28000663503815854	1.0700362920761108		0.7213
48	13:25:15	0	0.1250	0.28393570494048204	1.0684062242507935		0.7224
49	13:25:29	1	0.1250	0.2781638918043692	1.0765963792800903		0.7223
50	13:25:36	2	0.1250	0.2715104644811606	1.072600245475769		0.7213
51	13:25:42	3	0.1250	0.2631954256492325	1.0717118978500366		0.7223
52	13:25:48	4	0.1250	0.2693134416130525	1.0787752866744995		0.721
53	13:25:56	1	0.0625	0.26565462860125527	1.0721158981323242		0.7214
54	13:26:02	2	0.0625	0.25727029804941975	1.0722122192382812		0.7215
55	13:26:08	3	0.0625	0.26102428440051745	1.0727933645248413		0.7216
56	13:26:16	4	0.0625	0.25672358727153344	1.0741233825683594		0.7213
57	13:26:23	1	0.0312	0.2644873468936244	1.0729447603225708		0.7213
58	13:26:30	2	0.0312	0.2587636905380442	1.0735713243484497		0.7213
59	13:26:37	3	0.0312	0.2549381742749033	1.0730904340744019		0.7214
60	13:26:43	4	0.0312	0.26443681969672816	1.0727750062942505		0.7216
61	13:26:50	1	0.0156	0.2566271631778041	1.0723884105682373		0.7218
62	13:26:57	2	0.0156	0.26529719444769845	1.0731756687164307		0.722
63	13:27:04	3	0.0156	0.25168522419054296	1.0724842548370361		0.7219
64	13:27:11	4	0.0156	0.25552683597124076	1.0721452236175537		0.722
65	13:27:19	1	0.0078	0.2508488284258903	1.072086215019226		0.7215
66	13:27:26	2	0.0078	0.25672702189487745	1.0728060007095337		0.7213
67	13:27:32	3	0.0078	0.25866899573350255	1.0728590488433838		0.7212
68	13:27:39	4	0.0078	0.25849494460640077	1.0730584859848022		0.7215
69	13:27:45	1	0.0039	0.2598266245066365	1.0729964971542358		0.7214
70	13:27:52	2	0.0039	0.25116671131381507	1.0730630159378052		0.7216
71	13:27:59	3	0.0039	0.24935060909277276	1.0732814073562622		0.7214
72	13:28:05	4	0.0039	0.2588220853594285	1.0728462934494019		0.7214
