EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	20:38:31	0	0.2000	4.1419865221393355	2.66550350189209		0.3807
2	20:39:09	0	0.2000	2.378662637301854	1.960214614868164		0.5132
3	20:39:46	0	0.2000	1.8429412540732597	1.558531641960144		0.5888
4	20:40:27	0	0.2000	1.563954091953988	1.3888227939605713		0.626
5	20:41:12	0	0.2000	1.3719738102993186	1.2740172147750854		0.6521
6	20:41:48	0	0.2000	1.236562654832188	1.178350567817688		0.6694
7	20:42:32	0	0.2000	1.1224894500812705	1.127720832824707		0.6847
8	20:43:18	0	0.2000	1.0311741828918457	1.0731927156448364		0.6995
9	20:44:04	0	0.2000	0.9513535584722247	1.0738691091537476		0.7
10	20:44:43	0	0.2000	0.8851222944807033	1.0142717361450195		0.7156
11	20:45:20	0	0.2000	0.8177349255705366	1.0157421827316284		0.7162
12	20:46:00	0	0.2000	0.7616552271100939	0.990485429763794		0.7226
13	20:46:40	0	0.2000	0.7127303291036158	0.9958512187004089		0.7234
14	20:47:20	0	0.2000	0.663932025964771	0.9667882323265076		0.7286
15	20:47:57	0	0.2000	0.6212576210346757	0.9814974665641785		0.7298
16	20:48:34	0	0.2000	0.5822024552949837	0.966078519821167		0.7348
17	20:49:12	1	0.2000	0.554092319112043	0.981364369392395		0.734
18	20:49:46	2	0.2000	0.5130789877504719	0.9969183206558228		0.7292
19	20:50:19	3	0.2000	0.4828784669920498	0.9761905074119568		0.7333
20	20:50:52	0	0.2000	0.45055270354662624	0.9700925350189209		0.7387
21	20:51:32	1	0.2000	0.42192046222638113	0.9855861663818359		0.734
22	20:52:06	2	0.2000	0.3966395220890337	1.0042009353637695		0.7387
23	20:52:39	0	0.2000	0.3745679568727406	0.9937126040458679		0.7415
24	20:53:17	1	0.2000	0.3470310800309692	1.00421142578125		0.7395
25	20:53:50	2	0.2000	0.3302301985724848	1.006661057472229		0.7355
26	20:54:23	3	0.2000	0.30881656961021375	1.0066814422607422		0.7403
27	20:54:56	4	0.2000	0.2949281566377197	1.01174795627594		0.7412
28	20:55:29	0	0.1000	0.24735301544851795	1.0053730010986328		0.7446
29	20:56:06	1	0.1000	0.23761351397070957	1.0111500024795532		0.7434
30	20:56:40	0	0.1000	0.226325543122176	1.0131192207336426		0.7447
31	20:57:17	0	0.1000	0.21640314861219756	1.0268703699111938		0.7456
32	20:57:54	1	0.1000	0.21081528474329686	1.0242289304733276		0.7433
33	20:58:27	2	0.1000	0.20523092599243534	1.0261746644973755		0.7442
34	20:59:00	3	0.1000	0.20103730297438344	1.0392892360687256		0.7435
35	20:59:32	4	0.1000	0.1925056312537315	1.0391359329223633		0.7433
36	21:00:05	0	0.0500	0.1791236354228185	1.0390745401382446		0.7463
37	21:01:00	1	0.0500	0.17477865937184922	1.0415480136871338		0.7454
38	21:01:32	2	0.0500	0.17028751186266236	1.042299747467041		0.7446
39	21:02:05	3	0.0500	0.16959762493414537	1.0432108640670776		0.7444
40	21:02:38	4	0.0500	0.16325603092887572	1.0484639406204224		0.7459
