EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	12:44:04	0	0.2000	3.6042865801461135	2.843827724456787		0.3177
2	12:44:23	0	0.2000	2.5153474219237704	2.3294174671173096		0.4156
3	12:44:59	0	0.2000	2.179903745651245	2.1100106239318848		0.4291
4	12:45:30	0	0.2000	1.9167456958867326	2.011101484298706		0.4637
5	12:45:56	0	0.2000	1.7304966313929497	1.90607750415802		0.4766
6	12:46:25	0	0.2000	1.5636825455894954	1.821134090423584		0.4929
7	12:46:45	1	0.2000	1.4277768678303007	1.9410083293914795		0.4704
8	12:46:56	2	0.2000	1.2984726383716245	2.0281145572662354		0.479
9	12:47:07	0	0.2000	1.192001591754865	1.811326026916504		0.5131
10	12:47:28	0	0.2000	1.0691124298904515	1.7762396335601807		0.5326
11	12:47:53	0	0.2000	1.0122878136514109	1.672492265701294		0.5513
12	12:48:21	1	0.2000	0.8901472793349737	1.9355616569519043		0.4831
13	12:48:32	2	0.2000	0.8127517726602433	3.2065744400024414		0.3723
14	12:48:43	0	0.2000	0.7894074992288517	1.6495428085327148		0.5707
15	12:49:06	1	0.2000	0.6660946626451951	1.7474058866500854		0.5379
16	12:49:17	2	0.2000	0.6371415227274352	1.7129271030426025		0.5633
17	12:49:28	3	0.2000	0.5497997048534925	1.7555458545684814		0.5676
18	12:49:39	4	0.2000	0.5224160695377784	1.953339695930481		0.5641
19	12:49:50	0	0.1000	0.4055034352254264	1.7794716358184814		0.578
20	12:50:12	0	0.1000	0.3657249227354798	1.731012225151062		0.579
21	12:50:28	1	0.1000	0.3405351819871347	1.8158950805664062		0.5697
22	12:50:39	2	0.1000	0.3193386080144327	1.8623765707015991		0.5673
23	12:50:50	0	0.1000	0.3058730782587317	1.834689974784851		0.581
24	12:51:17	1	0.1000	0.2835462023563023	1.854232907295227		0.5761
25	12:51:28	2	0.1000	0.27333349555353575	1.9298685789108276		0.5789
26	12:51:39	3	0.1000	0.26674060957341256	1.9534534215927124		0.5731
27	12:51:49	4	0.1000	0.23961849340909644	1.9134334325790405		0.5715
28	12:52:00	0	0.0500	0.21891881638689886	1.8640047311782837		0.5846
29	12:52:18	1	0.0500	0.20746112775199022	1.8916999101638794		0.5835
30	12:52:28	0	0.0500	0.20098554088345058	1.8882653713226318		0.5865
31	12:53:02	1	0.0500	0.19146854524748236	1.934353232383728		0.5796
32	12:53:13	2	0.0500	0.18940551107442832	1.9286140203475952		0.5843
33	12:53:24	3	0.0500	0.18133843265756777	1.9214956760406494		0.5843
34	12:53:35	4	0.0500	0.1825012039346031	1.923617959022522		0.5823
35	12:53:46	1	0.0250	0.17006608315660984	1.925464391708374		0.5836
36	12:53:57	2	0.0250	0.16932341880813429	1.9351788759231567		0.5832
37	12:54:08	3	0.0250	0.16617915496418748	1.9423985481262207		0.5843
38	12:54:18	4	0.0250	0.16341227972054784	1.9515211582183838		0.5849
39	12:54:29	1	0.0125	0.15772024513799934	1.9514243602752686		0.5843
40	12:54:40	2	0.0125	0.15878870187303687	1.9556183815002441		0.5837
41	12:54:51	3	0.0125	0.15861743443374393	1.9498193264007568		0.5841
42	12:55:01	4	0.0125	0.15495479729356645	1.9595870971679688		0.5831
43	12:55:12	1	0.0063	0.15701950600818743	1.959405779838562		0.5836
44	12:55:23	2	0.0063	0.1533639925190165	1.9597549438476562		0.5834
45	12:55:34	3	0.0063	0.15461489388459845	1.957574486732483		0.5842
46	12:55:45	4	0.0063	0.1506863413732263	1.9668879508972168		0.5837
47	12:55:56	1	0.0031	0.15159363856043997	1.9608826637268066		0.5839
48	12:56:07	2	0.0031	0.15180634443141236	1.9631950855255127		0.5834
49	12:56:17	3	0.0031	0.1513810037057611	1.9608337879180908		0.5842
50	12:56:28	4	0.0031	0.15490303971344913	1.9584699869155884		0.5839
51	12:56:39	1	0.0016	0.15445272464163695	1.9603608846664429		0.5836
52	12:56:50	2	0.0016	0.15034910215984418	1.962087869644165		0.5837
53	12:57:00	3	0.0016	0.1505036306909368	1.9636235237121582		0.5832
54	12:57:11	4	0.0016	0.14808818033035798	1.963356852531433		0.5835
55	12:57:22	1	0.0008	0.1497307076484342	1.9631829261779785		0.5837
56	12:57:33	2	0.0008	0.14728509219764155	1.9640281200408936		0.5833
57	12:57:44	3	0.0008	0.15074427935141552	1.9643460512161255		0.5834
58	12:57:54	4	0.0008	0.14907257871914514	1.9640949964523315		0.5834
59	12:58:06	1	0.0004	0.14715493206359162	1.9645559787750244		0.5833
60	12:58:17	2	0.0004	0.14968991109841986	1.9651435613632202		0.5836
61	12:58:28	3	0.0004	0.14983413651396957	1.9650903940200806		0.5837
62	12:58:39	4	0.0004	0.15143965231844142	1.9652633666992188		0.5836
63	12:58:49	1	0.0002	0.15142539266166807	1.965609073638916		0.5837
64	12:59:00	2	0.0002	0.1523209957382347	1.9658619165420532		0.5836
65	12:59:11	3	0.0002	0.1514495222628871	1.9659056663513184		0.5837
66	12:59:22	4	0.0002	0.14475796767805196	1.9655852317810059		0.5836
