EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	13:21:20	0	0.0010	6.27797431583646	6.241175174713135		0.0866
2	13:21:49	0	0.0010	6.209847878806198	6.169191837310791		0.1662
3	13:22:16	0	0.0010	6.136661758905725	6.0905280113220215		0.1781
4	13:22:52	0	0.0010	6.056393381915515	6.0020527839660645		0.1782
5	13:23:14	1	0.0010	5.9636746418627	5.898929595947266		0.172
6	13:23:25	2	0.0010	5.855311273019525	5.775897979736328		0.1622
7	13:23:36	3	0.0010	5.722102660167066	5.626044273376465		0.1566
8	13:23:47	4	0.0010	5.565706747996656	5.444681167602539		0.1539
9	13:23:57	1	0.0005	5.422075700156296	5.340400218963623		0.1533
10	13:24:08	2	0.0005	5.320933209189886	5.228506565093994		0.1526
11	13:24:19	3	0.0005	5.2053806872307495	5.109898090362549		0.152
12	13:24:30	4	0.0005	5.098905285702476	4.9896650314331055		0.1516
13	13:24:41	1	0.0003	5.008831199211411	4.929853439331055		0.1515
14	13:24:52	2	0.0003	4.9515341203424	4.871097564697266		0.1516
15	13:25:03	3	0.0003	4.9011239220824425	4.814331531524658		0.1519
16	13:25:15	4	0.0003	4.852271194699444	4.760152339935303		0.1521
17	13:25:26	1	0.0001	4.814755355255513	4.7339677810668945		0.1524
18	13:25:37	2	0.0001	4.786105198196218	4.708354949951172		0.1529
19	13:25:48	3	0.0001	4.763586388358587	4.683393478393555		0.1533
20	13:25:58	4	0.0001	4.739330961734434	4.659132957458496		0.1534
