EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	15:25:16	0	0.8000	3.9354041980791696	3.3715851306915283		0.2301
2	15:25:53	0	0.8000	3.0397050803220727	2.9884514808654785		0.2441
3	15:26:30	0	0.8000	2.7309780845159217	2.6157708168029785		0.3475
4	15:27:04	0	0.8000	2.543161603468883	2.415318489074707		0.3679
5	15:27:38	0	0.8000	2.3957856803000728	2.294600009918213		0.395
6	15:28:16	1	0.8000	2.2666182065311866	2.283013343811035		0.3906
7	15:28:44	0	0.8000	2.158979698072506	2.0622007846832275		0.4318
8	15:29:18	1	0.8000	2.065082133570804	2.0790657997131348		0.4317
9	15:29:45	0	0.8000	1.9579093803333332	1.9556180238723755		0.454
10	15:30:17	1	0.8000	1.8751782329776618	2.0112733840942383		0.4073
11	15:30:42	0	0.8000	1.8210618375222893	1.7684388160705566		0.5031
12	15:31:11	1	0.8000	1.74289169341703	1.7878398895263672		0.4916
13	15:31:35	2	0.8000	1.6927257565003406	1.7349594831466675		0.5015
14	15:32:00	0	0.8000	1.6296236318877981	1.6599910259246826		0.5216
15	15:32:34	1	0.8000	1.5892806747291661	1.6762418746948242		0.51
16	15:33:01	0	0.8000	1.5448005893562413	1.656650185585022		0.5228
17	15:33:33	1	0.8000	1.5029673953599567	1.8919219970703125		0.4452
18	15:34:01	2	0.8000	1.4604039146930357	1.699220061302185		0.5073
19	15:34:28	0	0.8000	1.407114110415495	1.6143627166748047		0.5349
20	15:34:58	1	0.8000	1.3636139887797682	1.6309245824813843		0.5324
21	15:35:27	0	0.8000	1.3315955204299734	1.5503543615341187		0.5539
22	15:35:57	1	0.8000	1.2850641872309432	1.6235545873641968		0.5254
23	15:36:25	2	0.8000	1.2509674829772757	1.6652144193649292		0.5091
24	15:36:52	3	0.8000	1.1953201874901977	1.6419459581375122		0.5008
25	15:37:19	0	0.8000	1.1772346383408656	1.5123109817504883		0.559
26	15:37:50	1	0.8000	1.1487634687484065	1.5382963418960571		0.5519
27	15:38:18	2	0.8000	1.1199256294890294	1.6250829696655273		0.5443
28	15:38:46	3	0.8000	1.0785847260982175	1.5480456352233887		0.5559
29	15:39:13	4	0.8000	1.0490850640248648	1.5934454202651978		0.5322
30	15:39:41	0	0.4000	0.9628079661840125	1.430076241493225		0.5871
31	15:40:11	0	0.4000	0.9360707530492469	1.4367753267288208		0.5906
32	15:40:42	1	0.4000	0.9235861995552159	1.4784190654754639		0.5796
33	15:41:09	0	0.4000	0.8949139329451549	1.4465121030807495		0.592
34	15:41:40	1	0.4000	0.8951365766645987	1.4445149898529053		0.5919
35	15:42:08	2	0.4000	0.8711936828456347	1.4924380779266357		0.5828
36	15:42:36	3	0.4000	0.8592187747170653	1.469058632850647		0.582
37	15:43:03	4	0.4000	0.8420755606663378	1.4407392740249634		0.5905
38	15:43:31	0	0.2000	0.8223472003695331	1.419558048248291		0.5968
39	15:44:02	1	0.2000	0.8001095773298529	1.436450719833374		0.5937
40	15:44:30	2	0.2000	0.7837757143793227	1.4318653345108032		0.5938
41	15:44:57	3	0.2000	0.7840009075176867	1.453356146812439		0.5952
42	15:45:25	0	0.2000	0.7746723037731799	1.4405543804168701		0.5973
43	15:45:56	0	0.2000	0.7642246839366381	1.4247024059295654		0.6006
44	15:46:27	1	0.2000	0.7563461374632919	1.4155399799346924		0.5973
45	15:46:55	2	0.2000	0.750697594654711	1.4243965148925781		0.5991
46	15:47:22	3	0.2000	0.744853305288508	1.447867512702942		0.5967
47	15:47:50	4	0.2000	0.744743928124633	1.4383883476257324		0.5971
48	15:48:17	1	0.1000	0.7271206235583825	1.4368606805801392		0.5968
49	15:48:45	2	0.1000	0.7180359457867055	1.4333692789077759		0.5996
50	15:49:13	3	0.1000	0.7149997776067709	1.4362246990203857		0.5977
51	15:49:40	4	0.1000	0.7072781362111056	1.4287127256393433		0.5984
52	15:50:08	0	0.0500	0.7010041716732557	1.4266351461410522		0.601
53	15:50:40	1	0.0500	0.7009937435011321	1.430108666419983		0.5999
54	15:51:07	2	0.0500	0.6910604502581343	1.4276713132858276		0.6009
55	15:51:34	0	0.0500	0.6998643086680884	1.4259673357009888		0.6013
56	15:52:01	1	0.0500	0.6935278101812435	1.4284312725067139		0.6001
57	15:52:26	2	0.0500	0.6876951584333106	1.4331263303756714		0.6004
58	15:52:51	3	0.0500	0.6876320993598504	1.430940866470337		0.5993
59	15:53:15	0	0.0500	0.6867203821864309	1.4324628114700317		0.6018
60	15:53:46	1	0.0500	0.6859088555166993	1.4339793920516968		0.6015
61	15:54:14	2	0.0500	0.6830567962761167	1.4352476596832275		0.6013
62	15:54:41	3	0.0500	0.6820493574383892	1.437015414237976		0.6005
63	15:55:08	4	0.0500	0.6801037237614016	1.4371472597122192		0.6002
64	15:55:37	1	0.0250	0.6788810985752299	1.4353456497192383		0.6008
65	15:56:04	2	0.0250	0.6791183733487431	1.4337570667266846		0.6014
66	15:56:32	3	0.0250	0.6722379040114487	1.4316765069961548		0.6014
67	15:56:59	4	0.0250	0.6706062423277505	1.436682939529419		0.6002
68	15:57:24	1	0.0125	0.6637036736252941	1.4352761507034302		0.6011
69	15:57:52	2	0.0125	0.6694014596788189	1.4354925155639648		0.601
70	15:58:18	3	0.0125	0.6658898263792449	1.4356145858764648		0.6018
71	15:58:43	4	0.0125	0.6722570401203783	1.434791922569275		0.6002
72	15:59:08	1	0.0063	0.677315973028352	1.4355566501617432		0.6009
