  SYNTACTIC SCORES:
  Labeled   attachment score: 14025 / 25096 * 100 = 55.89 %
  Unlabeled attachment score: 20407 / 25096 * 100 = 81.32 %
  Label accuracy score:       15824 / 25096 * 100 = 63.05 %
  Exact syntactic match:      340 / 2077 * 100 = 16.37 %

  SEMANTIC SCORES: 
  Labeled precision:          (6719 + 4729) / (8048 + 4799) * 100 = 89.11 %
  Labeled recall:             (6719 + 4729) / (9435 + 4799) * 100 = 80.43 %
  Labeled F1:                 84.55 
  Unlabeled precision:        (7402 + 4799) / (8048 + 4799) * 100 = 94.97 %
  Unlabeled recall:           (7402 + 4799) / (9435 + 4799) * 100 = 85.72 %
  Unlabeled F1:               90.11 
  Proposition precision:      2519 / 4799 * 100 = 52.49 %
  Proposition recall:         2519 / 4799 * 100 = 52.49 %
  Proposition F1:             52.49 
  Exact semantic match:       1043 / 2077 * 100 = 50.22 %

  OVERALL MACRO SCORES (Wsem = 0.50):
  Labeled macro precision:    72.50 %
  Labeled macro recall:       68.16 %
  Labeled macro F1:           70.26 %
  Unlabeled macro precision:  88.14 %
  Unlabeled macro recall:     83.52 %
  Unlabeled macro F1:         85.77 %
  Exact overall match:        336 / 2077 * 100 = 16.18 %

  OVERALL MICRO SCORES:
  Labeled micro precision:    (14025 + 6719 + 4729) / (25096 + 8048 + 4799) * 100 = 67.13 %
  Labeled micro recall:       (14025 + 6719 + 4729) / (25096 + 9435 + 4799) * 100 = 64.77 %
  Labeled micro F1:           65.93 
  Unlabeled micro precision:  (20407 + 7402 + 4799) / (25096 + 8048 + 4799) * 100 = 85.94 %
  Unlabeled micro recall:     (20407 + 7402 + 4799) / (25096 + 9435 + 4799) * 100 = 82.91 %
  Unlabeled micro F1:         84.40 

  ================================================================================

  Evaluation of the syntactic results in model/srlreplaced/upos/transformer/150cc3f4-dd72-493d-a6a1-f141a1782d75/predicted-props-conll09.tsv
  vs. gold standard model/srlreplaced/upos/transformer/150cc3f4-dd72-493d-a6a1-f141a1782d75/target-props-conll09.tsv:

  Legend: '.S' - the beginning of a sentence, '.E' - the end of a sentence

  Number of non-scoring tokens: 0

  The overall accuracy and its distribution over PPOSS tags

  -----------+-------+-------+------+-------+------+-------+-------
  Accuracy   | words | right |   %  | right |   %  | both  |   %
             |       | head  |      |  dep  |      | right |
  -----------+-------+-------+------+-------+------+-------+-------
  total      | 25096 | 20407 |  81% | 15824 |  63% | 14025 |  56%
  -----------+-------+-------+------+-------+------+-------+-------
  _          | 25096 | 20407 |  81% | 15824 |  63% | 14025 |  56%
  -----------+-------+-------+------+-------+------+-------+-------


  The overall error rate and its distribution over PPOSS tags

  -----------+-------+-------+------+-------+------+-------+-------
  Error      | words | head  |   %  |  dep  |   %  | both  |   %
  Rate       |       | err   |      |  err  |      | wrong |
  -----------+-------+-------+------+-------+------+-------+-------
  total      | 25096 |  4689 |  19% |  9272 |  37% |  2890 |  12%
  -----------+-------+-------+------+-------+------+-------+-------
  _          | 25096 |  4689 |  19% |  9272 |  37% |  2890 |  12%
  -----------+-------+-------+------+-------+------+-------+-------


  Precision and recall of DEPREL

  ----------------+------+---------+--------+------------+---------------
  deprel          | gold | correct | system | recall (%) | precision (%) 
  _               |    0 |       0 |   8422 |        NaN |          0.00
  acl             |  173 |      78 |     96 |      45.09 |         81.25
  acl:relcl       |  218 |     117 |    151 |      53.67 |         77.48
  advcl           |  373 |       6 |     13 |       1.61 |         46.15
  advmod          | 1283 |     280 |    343 |      21.82 |         81.63
  amod            | 1172 |     827 |    924 |      70.56 |         89.50
  appos           |  186 |      98 |    207 |      52.69 |         47.34
  aux             |  825 |     423 |    427 |      51.27 |         99.06
  aux:pass        |  115 |     111 |    129 |      96.52 |         86.05
  case            | 1978 |    1825 |   1987 |      92.26 |         91.85
  cc              |  749 |     648 |    721 |      86.52 |         89.88
  cc:preconj      |    9 |       2 |      5 |      22.22 |         40.00
  ccomp           |  238 |       0 |      0 |       0.00 |           NaN
  compound        | 1152 |     759 |    955 |      65.89 |         79.48
  compound:prt    |   89 |      62 |     68 |      69.66 |         91.18
  conj            |  863 |     563 |    769 |      65.24 |         73.21
  cop             |  561 |     497 |    556 |      88.59 |         89.39
  csubj           |   23 |       0 |      0 |       0.00 |           NaN
  csubj:pass      |    1 |       0 |      0 |       0.00 |           NaN
  dep             |    1 |       0 |      0 |       0.00 |           NaN
  det             | 1830 |    1709 |   1821 |      93.39 |         93.85
  det:predet      |   22 |      17 |     20 |      77.27 |         85.00
  discourse       |  122 |      10 |     18 |       8.20 |         55.56
  dislocated      |    1 |       0 |      0 |       0.00 |           NaN
  expl            |   66 |      53 |     64 |      80.30 |         82.81
  fixed           |   62 |      45 |     60 |      72.58 |         75.00
  flat            |  251 |     222 |    262 |      88.45 |         84.73
  flat:foreign    |    7 |       0 |      0 |       0.00 |           NaN
  goeswith        |   15 |       1 |     14 |       6.67 |          7.14
  iobj            |   41 |       0 |      0 |       0.00 |           NaN
  list            |  251 |      31 |    162 |      12.35 |         19.14
  mark            |  783 |     704 |    741 |      89.91 |         95.01
  nmod            |  769 |     425 |    536 |      55.27 |         79.29
  nmod:npmod      |   13 |       1 |      3 |       7.69 |         33.33
  nmod:poss       |  385 |     267 |    292 |      69.35 |         91.44
  nmod:tmod       |   37 |      22 |     25 |      59.46 |         88.00
  nsubj           | 1976 |       8 |     12 |       0.40 |         66.67
  nsubj:pass      |  101 |       0 |      0 |       0.00 |           NaN
  nummod          |  279 |     243 |    306 |      87.10 |         79.41
  obj             | 1179 |       0 |      0 |       0.00 |           NaN
  obl             | 1055 |      35 |     58 |       3.32 |         60.34
  obl:npmod       |   48 |      22 |     33 |      45.83 |         66.67
  obl:tmod        |   66 |       0 |      0 |       0.00 |           NaN
  orphan          |    1 |       0 |      0 |       0.00 |           NaN
  parataxis       |  205 |      53 |    124 |      25.85 |         42.74
  punct           | 3068 |    2281 |   3068 |      74.35 |         74.35
  reparandum      |    3 |       0 |      0 |       0.00 |           NaN
  root            | 2077 |    1542 |   1663 |      74.24 |         92.72
  vocative        |   21 |       4 |      6 |      19.05 |         66.67
  xcomp           |  353 |      34 |     35 |       9.63 |         97.14


  Precision and recall of binned HEAD direction

  ----------------+------+---------+--------+------------+---------------
  direction       | gold | correct | system | recall (%) | precision (%) 
  ----------------+------+---------+--------+------------+---------------
  to_root         | 2077 |    1674 |   2680 |      80.60 |         62.46
